date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:30	27290/27290	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:30%20GMT	https://matematika.cz/lomene-vyrazy	~home/websites/mara/matice2/matematika.cz/lomene-vyrazy.html	(from https://matematika.cz/matice)
12:15:31	33494/33494	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:31%20GMT	https://matematika.cz/zlomky	~home/websites/mara/matice2/matematika.cz/zlomky.html	(from https://matematika.cz/matice)
12:15:32	27500/27500	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:32%20GMT	https://matematika.cz/vytykani	~home/websites/mara/matice2/matematika.cz/vytykani.html	(from https://matematika.cz/matice)
12:15:33	33282/33282	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:33%20GMT	https://matematika.cz/procenta	~home/websites/mara/matice2/matematika.cz/procenta.html	(from https://matematika.cz/matice)
12:15:34	27346/27346	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:34%20GMT	https://matematika.cz/zaokrouhlovani	~home/websites/mara/matice2/matematika.cz/zaokrouhlovani.html	(from https://matematika.cz/matice)
12:15:35	32133/32133	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:35%20GMT	https://matematika.cz/trojclenka	~home/websites/mara/matice2/matematika.cz/trojclenka.html	(from https://matematika.cz/matice)
12:15:36	28066/28066	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:36%20GMT	https://matematika.cz/spolecna-prace	~home/websites/mara/matice2/matematika.cz/spolecna-prace.html	(from https://matematika.cz/matice)
12:15:37	22223/22223	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:37%20GMT	https://matematika.cz/kategorie-funkce	~home/websites/mara/matice2/matematika.cz/kategorie-funkce.html	(from https://matematika.cz/matice)
12:15:38	34131/34131	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:38%20GMT	https://matematika.cz/co-je-to-funkce	~home/websites/mara/matice2/matematika.cz/co-je-to-funkce.html	(from https://matematika.cz/matice)
12:15:40	36612/36612	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:39%20GMT	https://matematika.cz/funkce	~home/websites/mara/matice2/matematika.cz/funkce.html	(from https://matematika.cz/matice)
12:15:40	29897/29897	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:40%20GMT	https://matematika.cz/definicni-obor	~home/websites/mara/matice2/matematika.cz/definicni-obor.html	(from https://matematika.cz/matice)
12:15:41	31123/31123	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:41%20GMT	https://matematika.cz/inverzni-funkce	~home/websites/mara/matice2/matematika.cz/inverzni-funkce.html	(from https://matematika.cz/matice)
12:15:42	29988/29988	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:42%20GMT	https://matematika.cz/suda-licha	~home/websites/mara/matice2/matematika.cz/suda-licha.html	(from https://matematika.cz/matice)
12:15:43	23344/23344	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:43%20GMT	https://matematika.cz/linearni-funkce	~home/websites/mara/matice2/matematika.cz/linearni-funkce.html	(from https://matematika.cz/matice)
12:15:44	25997/25997	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:44%20GMT	https://matematika.cz/mocniny	~home/websites/mara/matice2/matematika.cz/mocniny.html	(from https://matematika.cz/matice)
12:15:45	28714/28714	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:45%20GMT	https://matematika.cz/odmocniny	~home/websites/mara/matice2/matematika.cz/odmocniny.html	(from https://matematika.cz/matice)
12:15:46	29808/29808	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:46%20GMT	https://matematika.cz/exponencialni-funkce	~home/websites/mara/matice2/matematika.cz/exponencialni-funkce.html	(from https://matematika.cz/matice)
12:15:47	30533/30533	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:47%20GMT	https://matematika.cz/logaritmy	~home/websites/mara/matice2/matematika.cz/logaritmy.html	(from https://matematika.cz/matice)
12:15:48	31056/31056	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:48%20GMT	https://matematika.cz/kvadraticka-funkce	~home/websites/mara/matice2/matematika.cz/kvadraticka-funkce.html	(from https://matematika.cz/matice)
12:15:50	35403/35403	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:49%20GMT	https://matematika.cz/goniometrie	~home/websites/mara/matice2/matematika.cz/goniometrie.html	(from https://matematika.cz/matice)
12:15:50	21246/21246	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:50%20GMT	https://matematika.cz/kategorie-rovnice-nerovnice	~home/websites/mara/matice2/matematika.cz/kategorie-rovnice-nerovnice.html	(from https://matematika.cz/matice)
12:15:52	33800/33800	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:51%20GMT	https://matematika.cz/rovnice	~home/websites/mara/matice2/matematika.cz/rovnice.html	(from https://matematika.cz/matice)
